index,en,zh-tw
205,fit with perimeter,適合周長
206,fit with periphery,與周邊相配
207,fit within wall,適合牆內
208,fits disease,適合疾病
209,insert with perimeter,帶周邊插入
210,inside ai,裡面ai
211,inside circumference,內圓周
212,limit,限制
213,outline,大綱
214,perimeter encased,包圍的周長
215,peripheral neuropathy,周圍神經病
216,threshold,臨界點
217,tropical area,熱帶地區
218,tropics,熱帶
219,endless flexible belt,無端柔性帶
220,strip,跳閘
221,flexible drive belt,柔性傳動帶
222,belt regions of the united states,美國的腰帶地區
223,device for transporting,運輸裝置
224,elastic belt,鬆緊帶
225,elastic ropes,彈性繩索
226,flexible band,彈性帶
227,flexible belt conveyor,柔性帶式輸送機
228,flexible belt conveyor system,柔性帶式輸送系統
229,flexible conveyor belt,柔性輸送帶
230,flexible display,柔性顯示
231,flexible electrode,柔性電極
232,flexible strap,彈性帶
233,geographic belt,地理帶
234,indus ganga belt,印度恒河帶
235,leather belt,皮帶
236,locking member,鎖定件
237,looped strip,環帶
238,multiple rotating shafts,多個旋轉軸
239,river belt,河帶
240,single belt,單腰帶
241,strap with holes,帶孔錶帶
242,harness,馬俱
243,waist belt,腰帶
244,belt of belt,腰帶的腰帶
245,belt of chain,鏈帶
246,chain bar,鏈桿
247,chain belt,鏈帶
248,drive belt,安全帶
249,drive chain,傳動鏈
250,driven bar,從動桿
251,driven chain,從動鏈
252,loop belt,環帶
253,loop of belt,皮帶環
254,sprocket,鏈輪
255,timing belt,同步帶
256,timing chain,時間鏈
257,flexible endless belt,柔性環形帶
258,belt assembly,皮帶總成
259,chemical element chart,化學元素圖
260,continuous belt,連續帶
261,device manufacturer,設備製造商
262,elastomeric belt,彈性帶
263,flexible safety element,靈活的安全元件
264,flexible sandals,彈性涼鞋
265,flexible timings,靈活的時間安排
266,inelastic belt,無彈性腰帶
267,looped belt,環形腰帶
268,non elastic belt,無彈性腰帶
269,resilient endless belt,彈性環形帶
270,rigid belt,剛性腰帶
271,safety devices,安全設備
272,support belt,支撐帶
273,coil member,線圈構件
274,coil spring,螺旋彈簧
275,coiled spring,螺旋彈簧
276,compression member,壓縮構件
277,compression spring,壓縮彈簧
278,flexible of belt,皮帶彈性
279,pair drive belt,對傳動帶
280,pair of belt,一對皮帶
281,adaptable glass substrate,適應性玻璃基板
282,adjustable glass substrate,可調玻璃基板
283,bendable glass substrate,可彎曲玻璃基板
284,eye glass shape,眼睛玻璃形狀
285,fixed glass substrate,固定玻璃基板
286,flexible account,靈活賬戶
287,flexible denture,彈性假牙
288,flexible glass,柔性玻璃
289,flexible glass substrate,柔性玻璃基板
290,flexible glass targets,柔性玻璃靶材
291,flexible nervous system,靈活的神經系統
292,flexible substrate,柔性基板
293,glass ionomer cement,玻璃離子水門汀
294,glass substrate,玻璃基板
295,in mold coating,在模具塗層
296,longitudinal slit,縱向狹縫
297,protection layer,保護層
298,punctured rubber tyres,刺破的橡膠輪胎
299,rigid glass substrate,剛性玻璃基板
300,substrate strain theory,底物應變理論
301,flexible glass layer,柔性玻璃層
302,flexible glass substrate layer,柔性玻璃基板層
303,flexible substrate layer,柔性襯底層
304,glass layer,玻璃層
305,optical clear adhesive,光學透明膠
306,optical clear film,光學透明膜
307,optically clear adhesive,光學透明粘合劑
308,optically clear film,光學透明薄膜
309,thin flexible glass layer,薄的柔性玻璃層
310,thin flexible glass substrate,薄的柔性玻璃基板
311,thin flexible substrate,薄的柔性基板
312,thin flexible substrate layer,薄的柔性襯底層
313,thin glass layer,薄玻璃層
314,thin glass substrate,薄玻璃基板
315,thin glass substrate layer,薄玻璃基板層
316,changeable glass substrate,可更換玻璃基板
317,electrical components,電氣元件
318,eye glass,眼鏡片
319,flexible blood vessels,有彈性的血管
320,flexible drain pipe,柔性排水管
321,flexible glass membrane,柔性玻璃膜
322,flexible glass sheet,柔性玻璃板
323,flexible sheet,柔性片材
324,glass element,玻璃元素
325,pneumatic conveying system,氣力輸送系統
326,porous sprung flap,多孔彈簧襟翼
327,ribbon,絲帶
328,sea glass,海玻璃
329,crack,裂縫
330,flexible glass substrates,柔性玻璃基板
331,flexible of glass,玻璃柔性
332,flexible of glass substrate,玻璃基板的柔性
333,flexible of substrate,基材柔韌
334,flexible of substrates,柔性基材
335,flexible substrates,柔性基板
336,flexible web,靈活的網絡
337,glass material,玻璃材質
338,glass substrates,玻璃基板
339,plurality flexible glass,多個柔性玻璃
340,plurality flexible glass substrate,多個柔性玻璃基板
341,plurality flexible substrate,多個柔性基板
342,plurality of glass,多個玻璃
343,plurality of glass substrate,多個玻璃基板
344,plurality of substrate,多個基板
345,semiconductor substrate,半導體基板
346,apply to flexible membrane,適用於柔性膜
347,mount on flexible membrane,安裝在柔性膜上
348,adaptable membrane,適應性膜
349,adjustable membrane,可調膜
350,dielectric film,介電薄膜
351,elastic membrane,彈性膜
352,eye membrane,眼膜
353,flexible membrane,柔性膜
354,flexible timing,靈活的時間安排
355,flexible wireless earbuds,靈活的無線耳塞
356,flexible wireless keyboard,靈活的無線鍵盤
357,immovable membrane,固定膜
358,malleable membrane,延展性膜
359,membrane proteins,膜蛋白
360,membranes,膜
361,movable membrane,活動膜
362,porous membrane,多孔膜
363,thick flexible membrane,厚彈性膜
364,thin flexible membrane,柔性薄膜
365,wear resistant bolt,耐磨螺栓
366,flexible disposed,靈活配置
367,flexible membrane disposed,設置柔性膜
368,flexible membranes,柔性膜
369,mat,墊
370,membrane,膜
371,membrane disposed,膜配置
372,polypeptide,多肽
373,rigid membrane,剛性膜
374,rigid membranes,剛性膜
375,flat,平坦的
376,flexible,靈活的
377,flexible membrane material,柔性膜材料
378,flexible membrane substantially,基本上是柔性膜
379,flexible substantially,相當靈活
380,flexible wall,彈性牆
381,planar,平面
382,diaphragm,隔膜
383,flexible piezoelectric layer,柔性壓電層
384,flexible piezoelectric membrane,柔性壓電膜
385,flexible silicon layer,柔性矽層
386,flexible silicon membrane,柔性矽膜
387,membrane layer,膜層
388,piezoelectric layer,壓電層
389,piezoelectric membrane,壓電膜
390,piezoelectric substrate,壓電基板
391,silicon membrane,矽膜
392,silicon substrate,矽基板
393,collapsible membrane,可折疊膜
394,deformable enclosure,可變形外殼
395,deformable membrane,變形膜
396,flexible chamber wall,靈活的室壁
397,flexible pavement,柔性路面
398,flexible plastic,彈性塑料
399,flexible portion,彈性部分
400,inductive membrane,感應膜
401,integral membrane,整體膜
402,membrane sweep,掃膜
403,plasma membrane,質膜
404,protein membrane,蛋白質膜
405,resilient membrane,彈性膜
406,semipermeable material,半透材料
407,thin metal,薄金屬
408,adjustable person,可調節的人
409,adjustable shunt,可調分流器
410,auxiliary contact apparatus,輔助接觸器
411,bridge road,橋路
412,bus bar,母線
413,bus strap,公交車帶
414,conductive bridge member,導電橋構件
415,conductive member,導電構件
416,flexible rubber,彈性橡膠
417,flexible spring,彈性彈簧
418,grounding band,接地帶
419,lead team,領導團隊
420,main contact member,主要聯絡員
421,main crop,主要作物
422,power updown device,斷電裝置
423,rigid shunt,剛性分流
424,shunt,分流
425,transformer lead,變壓器引線
426,vacuum circuit breaker,真空斷路器
427,blowing means,吹氣裝置
428,blowing openings,吹口
429,distribution means,分配方式
430,distribution means installed,安裝的分配裝置
431,distribution means located,分佈裝置位於
432,distribution openings,分銷口
433,distribution openings installed,安裝的分配口
434,distribution openings located,分佈開口位於
435,distributor installed,已安裝分配器
436,distributor located,經銷商位於
437,duct,管
438,ducts,導管
439,inlet holes formed,形成的進氣孔
440,inlet openings formed,形成的入口開口
441,inlet openings provided,提供入口
442,inlet outlet,入口 出口
443,intake openings formed,形成的進氣口
444,intake openings provided,提供進氣口
445,openings formed,形成的開口
446,openings provided,提供開口
447,outlet installed,已安裝插座
448,outlet located,出口位於
449,outlets,網點
450,passages formed,形成的通道
451,passages provided,提供的段落
452,supply means installed,供應裝置已安裝
453,supply means located,供應裝置位於
454,supply openings installed,安裝的供應開口
455,supply openings located,供應開口位於
456,air flow in nose,鼻子裡的氣流
457,apertures,孔徑
458,face seal,面部密封
459,flow holes,流孔
460,flow openings,流動開口
461,flow passages,流道
462,flow song,流歌
463,flower drawing,花畫
464,function of a brake,剎車的功能
465,inlet openings,入口開口
466,lungs opening up the constricted airways,肺部打開狹窄的氣道
467,needle opening allows blood,針頭開口允許血液
468,opening balance,期初餘額
469,outlet openings,出口開口
470,passage openings,通道開口
471,ports,港口
472,rotary piston,旋轉活塞
473,small holes,小孔
474,valve holes,閥孔
475,valve openings,閥門開口
476,valve passages,閥門通道
477,air flow opening,氣流開口
478,flow apertures,流孔
479,flow closings,流量關閉
480,flow graph,流程圖
481,flow passage unit,流道單元
482,flow sections,流段
483,flow slits,流動狹縫
484,grilles,格柵
485,horizontal lines,水平線
486,opening process equipment,開孔工藝設備
487,orifices,孔口
488,passages,段落
489,peripheral openings,外圍開口
490,sections,部分
491,sectors,部門
492,separate sections,單獨的部分
493,separate slits,分開的狹縫
494,slit lamp,裂隙燈
495,supply path,供給路徑
496,vanes,葉片
497,apart surfaces,分開的表面
498,apart walls,隔牆
499,flow grooves,流槽
0,flow ports,流量端口
1,fluid flow openings,流體流動開口
2,fluid flow ports,流體流動端口
3,fluid of openings,開口流體
4,fluid of ports,端口流體
5,fluid openings,流體開口
6,fluid passages,流體通道
7,fluid ports,流體端口
8,housing openings,外殼開口
9,parts walls,零件牆
10,plurality flow openings,多個流動開口
11,plurality flow ports,多個流口
12,plurality of openings,多個開口
13,plurality of ports,多個端口
14,walls,牆壁
15,air flow source,氣流源
16,control handle,控製手柄
17,data flow circuit,數據流電路
18,data flow source,數據流源
19,data input source,數據輸入源
20,flow direction,流動的方向
21,flow source,流源
22,flow through source,流經源頭
23,flowing substance flow source,流動物質流源
24,fluid flow,流體流動
25,fluid flow circuit,流體流動迴路
26,fluid input circuit,流體輸入迴路
27,fluid input source,流體輸入源
28,fluid propulsion source,流體推進源
29,fluid propulsion system,流體推進系統
30,fluid source,流體源
31,fluid source of fluid,流體流體源
32,fluid supply,流體供應
33,fluid system,流體系統
34,gas flow source,氣流源
35,handle unit,手柄單元
36,input data,輸入數據
37,liquefied flow source,液化流源
38,liquid source,液體源
39,parameters,參數
40,particular data flow source,特定數據流源
41,particular fluid flow circuit,特定的流體流動迴路
42,particular fluid flow source,特定的流體流源
43,particular fluid input circuit,特定的流體輸入迴路
44,particular fluid input source,特定的流體輸入源
45,predetermined flow,預定流量
46,predetermined flow source,預定流量源
47,predetermined flow sources,預定流量源
48,predetermined fluid flow source,預定流體流源
49,predetermined fluid flow sources,預定的流體流動源
50,predetermined fluid source,預定流體源
51,predetermined source,預定來源
52,propulsion source,動力源
53,protein source,蛋白質來源
54,single flow source,單流源
55,single flow sources,單流源
56,single fluid flow source,單一流體流源
57,single fluid flow sources,單一流體流源
58,single fluid source,單一流體源
59,source of hope,希望之源
60,source of income,收入來源
61,source of light,光源
62,specific fluid flow circuit,特定的流體流動迴路
63,specific fluid flow source,特定流體流源
64,specific fluid input circuit,特定的流體輸入迴路
65,specific fluid input source,特定流體輸入源
66,tissue ablation,組織消融
67,vapour flow,蒸氣流
68,vapour flow source,蒸氣流源
69,chromatographic system,色譜系統
70,drain extensions,排水延長線
71,energy source,能量源
72,flow of information,信息流
73,fluid dynamics,流體動力學
74,fluid film,液膜
75,fluid flow supply,流體供應
76,fluid sample analyzer,流體樣本分析儀
77,fluidic device,流體裝置
78,gate source,門源
79,hydroelectric power plants,水力發電廠
80,liquid flow source,液流源
81,liquid flow supply,液流供應
82,liquid fluid source,液體流體源
83,liquid fluid supply,液體流體供應
84,offon valve,關閉閥門
85,oil flow sources,油流源
86,petroleum system,石油系統
87,promote fluid flow,促進流體流動
88,reagent reader,試劑閱讀器
89,reagent system,試劑系統
90,respective fluid source flow,各自的流體源流
91,sample detection system,樣品檢測系統
92,sample reader,樣本閱讀器
93,sample system,樣品系統
94,source name,源名稱
95,source transformation,源轉換
96,vacuum system,真空系統
97,water drain,排水管
98,water flow sources,水流源
99,111444 hexafluoro 2 butene,111444 六氟2丁烯
100,1333 tetrafluoropropene,1333 四氟丙烯
101,acetylene compound,乙炔化合物
102,aforementioned,前述
103,c6h3f9,c6h3f9
104,fcf24chch2,fcf24chch2
105,flu,流感
106,fluoro chrome,氟鉻
107,fluoro composite,氟複合材料
108,fluoro phore,氟基團
109,fluorochemicals,氟化物
110,flux regulator,通量調節器
111,hydrofluoro alkenes,氫氟烯烴
112,initiator,發起人
113,monomer,單體
114,monomer compound,單體化合物
115,olefins,烯烴
116,organofluorine,有機氟
117,organofluorine compound,有機氟化合物
118,tetrafluoroethylene,四氟乙烯
119,tfe,鐵氟龍
120,unsaturated organic compounds,不飽和有機化合物
121,vinyl,乙烯基塑料
122,vinyl compound,乙烯基化合物
123,vinyl monomer,乙烯基單體
124,control regulator,控制調節器
125,reactor regulator,反應堆調節器
126,shield,盾
127,stage,階段
128,auxiliary control loop,輔助控制迴路
129,control embodiment,控制實施例
130,control loop,控制迴路
131,current controller,電流控制器
132,field oriented controller,磁場定向控制器
133,flaxseed,亞麻籽
134,flux period,通量期
135,motor drive inverter,電機驅動逆變器
136,power output,功率輸出
137,pressure control,壓力控制
138,proportional integral regulator,比例積分調節器
139,regular hexagon,正六邊形
140,regulated market,受監管的市場
141,regulating valve,調節閥
142,regulation of cell cycle,細胞週期的調節
143,slip regulator,滑差調節器
144,torque command generator,扭矩指令發生器
145,torque feedback circuit,轉矩反饋電路
146,voltage wave,電壓波
147,way,方法
148,block,堵塞
149,electric flux,電通量
150,field lines,場線
151,flux calculator,通量計算器
152,flux controller,通量控制器
153,flux density,通量密度
154,flux scope,通量範圍
155,food regulation,食品監管
156,limiter,限制器
157,magnetic flux regulator,磁通調節器
158,regulation of respiration,呼吸調節
159,reset flux level,重置通量水平
160,rotor flux regulator,轉子磁通調節器
161,torque calculator,扭矩計算器
162,torque compensator,扭矩補償器
163,torque controller,扭矩控制器
164,torque flux calculator,扭矩通量計算器
165,torque flux controller,轉矩通量控制器
166,vehicle regulation,車輛監管
167,arched part,拱形部分
168,convex side,凸面
169,curved side,彎曲的一面
170,drum,鼓
171,fingers,手指
172,foot anchor,腳錨
173,foot down side,腳朝下
174,foot lateral side,腳外側
175,foot massager,足部按摩器
176,foot panel,腳板
177,foot side border,腳邊邊框
178,foot side brim,腳邊邊緣
179,foot side edge,腳側邊
180,foot side perimeter,腳邊周長
181,football,足球
182,football match,足球比賽
183,football price,足球價格
184,football stadium,足球體育館
185,forefoot,前腳
186,human leg,人腿
187,limiting embodiment,限制性實施例
188,limiting example,限制性例子
189,limiting preferred embodiment,限制性優選實施例
190,limiting preferred example,限制性優選示例
191,preferred example,首選示例
192,side effect,副作用
193,supporting side,支撐面
194,toe side,腳趾側
195,tra supporting side,支持側
196,body bones anatomy,身體骨骼解剖
197,chemical pump shaft seal,化工泵軸封
198,dual step,雙步
199,filling station,加油站
200,form as ball member,形成球成員
201,form as barrier,形成屏障
202,form as body,形體
203,form as cylindrical body,形成圓柱體
204,form as disk,形成磁盤
205,form as plate,板狀
206,form as spring,形成彈簧
207,form as structure,形式為結構
208,form design,形式設計
209,form notice network,形成通知網
210,forming as a case,形成一個案例
211,human body bones,人體骨骼
212,manufacturing as an element,製造業作為一個要素
213,outer flank sections,外側部分
214,rainbow formation,彩虹形成
215,set up body,設置身體
216,spherical sliding surfaces,球面滑動面
217,three dimensional solid,三維立體
218,application form,申請表
219,banded metallic plate,帶狀金屬板
220,body effect,身體效應
221,body form,身體形態
222,body parts,身體部位
223,body shop,車身修理廠
224,body types,體型
225,destroy body,摧毀身體
226,form as body shaping,塑身
227,form as single part,形成單個部分
228,form less column,少列
229,form notice,表格通知
230,formation of object,對象的形成
231,formless composite beam,無形組合梁
232,formless material,無形材料
233,inner and outer surfaces,內表面和外表面
234,melts form as body,融化成身體
235,object,目的
236,outer housing formation,外殼形成
237,sealing form,密封形式
238,adjustment mechanism,調整機制
239,adjustment values,調整值
240,axis,軸
241,between layers,層間
242,break between direction,方向之間的突破
243,change in direction,改變方向
244,connecting nodes,連接節點
245,constant directions,恆定方向
246,filling form,填寫表格
247,form along circumferential direction,沿圓周方向形成
248,form in circumferential direction,沿圓周方向形成
249,form in extending direction,沿延伸方向形成
250,form in width direction,在寬度方向形成
251,formed between each pair,每對之間形成
252,full form,完整形式
253,group formation,群體形成
254,opposite directions,相反的方向
255,parallel direction,平行方向
256,rays,光線
257,redirecting mechanism,重定向機制
258,switch between direction,切換方向
259,terminal point,終點
260,traffic direction,交通方向
261,convulsions,抽搐
262,deposition,沉積
263,electric wire,電線
264,electrodeposition process,電沉積工藝
265,electroformed metal,電鑄金屬
266,electroforming,電鑄
267,electroforming bath,電鑄浴
268,electroforming method,電鑄法
269,electroforming procedure,電鑄程序
270,electroforming processes,電鑄工藝
271,electrolyte deficiency,電解質缺乏
272,electrolytic bath,電解槽
273,electron,電子
274,electroplating,電鍍
275,fabricating,製造
276,fabrication,製造
277,form by electrodeposition,電沉積形成
278,muscle spasm,肌肉痙攣
279,process,過程
280,cordless hair cutter,無繩理髮器
281,cutter fish,刀魚
282,cutters,刀具
283,cutting machine,切割機
284,cutting tool,切割用具
285,form by cutter,由刀具形成
286,form cutter,成型刀
287,form cutters,成型刀
288,form cutting machine,模切機
289,form finish concrete,成型混凝土
290,form milling cutter,成形銑刀
291,forming cutter,成型刀
292,horizontal type centrifugal casting hot roll,臥式離心鑄造熱輥
293,infiltrant metal alloys,浸滲金屬合金
294,milling operations,銑削操作
295,nail cutter,指甲刀
296,roller cone,滾錐
297,rotatable cutter,可旋轉刀具
298,vapour form,蒸氣形式
299,bamboo timber,竹材
300,chip forming machine,芯片成型機
301,cutter codes,刀具代碼
302,cutter for cutting gear teeth,用於切割齒輪齒的刀具
303,cutting tools,切割工具
304,face milling cutter,面銑刀
305,form cutting tool,成型刀具
306,form header,表格標題
307,forming milling cutter,成型銑刀
308,fresh wood cutting,新鮮的木材切割
309,online forms,在線表格
310,plasma cutter electrodes,等離子切割電極
311,rattan pretreatment method,藤條預處理法
312,saw,鋸
313,woodruff cutter,半切刀
314,blind rivet,盲鉚釘
315,fasteners,緊固件
316,flow form rivets,流形鉚釘
317,form factor,構成因素
318,form reset angular,表格重置角度
319,form rivets,形成鉚釘
320,form theory,形式論
321,hollow rivets,空心鉚釘
322,mechanical fasteners,機械緊固件
323,permanent mechanical fasteners,永久機械緊固件
324,pop rivets,流行鉚釘
325,punching machine guide,沖床導軌
326,ring rolling machine,滾環機
327,rivet gun,鉚釘槍
328,rivet head,鉚釘頭
329,rivet hypothesis,鉚釘假說
330,rivet networks,鉚釘網絡
331,rivet peening tool,鉚釘噴丸工具
332,rivets,鉚釘
333,steel production machining technology,鋼鐵生產加工技術
334,suitable rivets,合適的鉚釘
335,use rivets,使用鉚釘
336,color gamut,色域
337,colour register regulation,套色規則
338,elevated tables,高架桌
339,form a larger table,形成一個更大的桌子
340,form board,模板
341,form round table,形成圓桌會議
342,form table,表格
343,form tables,表格
344,form the backbone of a nucleic acid,形成核酸的骨架
345,form work surface,形成工作面
346,membrane image transfer printing process,薄膜圖像轉移印刷工藝
347,monochrome,單色
348,quilting tables,絎縫桌
349,registration form,報名表格
350,stamping press,沖壓機
351,table of elements,元素表
352,table system,表系統
353,table tennis,乒乓球
354,taggant security system,標籤安防系統
355,box isolation technique,箱隔離技術
356,cmos technology,CMOS技術
357,device isolation,設備隔離
358,electric current leakage,電流洩漏
359,form in trench,在溝槽中形成
360,form isolation,形式隔離
361,form isolation region,形成隔離區
362,form isolation regions,形成隔離區
363,form isolation structure,形成隔離結構
364,form sti region,形成 sti 區域
365,form the lower trench isolation,形成下溝槽隔離
366,form trench,形成溝
367,hospital isolation,醫院隔離
368,ic processing,集成電路加工
369,integrated circuit,集成電路
370,isolation distance,隔離距離
371,isolation forming process,隔離成型工藝
372,isolation valve,隔離閥
373,shallow trench isolation,淺溝隔離
374,sti process,性病過程
375,trench etching,溝槽蝕刻
376,trench foot,溝腳
377,trench isolation region,溝槽隔離區
378,trench isolation structure,溝槽隔離結構
379,pool,水池
380,water outlet,出水口
381,head,頭
382,nozzle head,噴嘴頭
383,spray head,噴頭
384,anvil block,砧座
385,container head,容器頭
386,cup,杯子
387,fluid container,流體容器
388,fountain assembly,噴泉大會
389,fountain cake ingredients,噴泉蛋糕的用料
390,fountain heads,噴泉頭
391,fountain knob,噴泉旋鈕
392,fountain nozzle,噴泉噴嘴
393,fountain pen,鋼筆
394,fountain system,噴泉系統
395,fountainhead,源泉
396,head nerves,頭部神經
397,head pain,頭疼
398,headrest,頭枕
399,headset,耳機
400,medicine adding device,加藥裝置
401,pressure head,壓頭
402,refrigerator system,冰箱系統
403,water fountain,噴泉
404,water head,水頭
405,aerating device,曝氣裝置
406,arrangements,安排
407,bler,布萊爾
408,bu ber,這個酒吧
409,bu bler,這個混蛋
410,bubbler,起泡器
411,conventional water faucet,傳統水龍頭
412,fountain cake,噴泉蛋糕
413,head cleaning,頭部護理，清理
414,headphones,耳機
415,human head,人頭
416,jet aeroplane,噴氣式飛機
417,liquid spreader,液體撒佈機
418,pressurized,加壓
419,pressurized water,加壓水
420,rotatable spray head,可旋轉噴頭
421,shower,淋浴
422,sprays fluid,噴液
423,sprinkler,灑水器
424,sprinkling mechanism,灑水機構
425,supply item,供應項目
426,tubes,管子
427,water body,水體
428,break up,分手
429,combine portions to form,組合部分以形成
430,crystallized drug,結晶藥物
431,crystallized portion,結晶部分
432,distillate portion,餾出物部分
433,fraction,分數
434,fraction to decimal,分數到小數
435,fractional banking,部分銀行業務
436,fractional column,分數列
437,fractional portion,小數部分
438,fractionating column,分餾柱
439,fragmentation,碎片化
440,majority,多數
441,oil distillate,油餾分
442,proportionately,按比例
443,purified part,純化部分
444,reaction product,反應產物
445,refined sugar portion,精製糖部分
446,separate into different portion,分成不同的部分
447,separation by fractionation,分餾分離
448,sticking together,黏在一起
449,alloy handle,合金手柄
450,aluminum frame,鋁框
451,data frame,數據框
452,frame cover,框架蓋
453,frame handle device,框架手柄裝置
454,frame integrated handle,框架一體式手柄
455,frame stand handle,框架支架把手
456,frame structure handle,框架結構手柄
457,frame support handle,框架支撐手柄
458,framework handle,框架句柄
459,handle frame,把手架
460,handle left frame,處理左框架
461,handle pressure,處理壓力
462,handle with care,小心輕放
463,handle work,處理工作
464,leaflet frame attachment,傳單框架附件
465,metal handle,金屬把手
466,rotatable frame,可旋轉框架
467,shaving razor handle,剃須刀手柄
468,steel handle,鋼把手
469,vehicle handle frame,車把架
470,aluminium frame,鋁框
471,door frame,門框
472,frame assembly,框架總成
473,frame design,框架設計
474,frame holder,框架支架
475,handle lock,把手鎖
476,photo frame,相框
477,video frame,視頻幀
478,window handle,窗把手
479,saw blade,鋸片
480,saw handle,鋸柄
481,calculation system,計算系統
482,circumferential clearance,圓周間隙
483,diameter,直徑
484,diameter index safety system,直徑指數安全系統
485,diameter of eyeball,眼球直徑
486,diameter protocol,直徑協議
487,diameter tolerance,直徑公差
488,direct drive inner cooling rolling mill,直驅內冷軋機
489,finished diameter,成品直徑
490,fixed diameter,固定直徑
491,forming diameter,成型直徑
492,free bore,自由孔
493,free command,自由命令
494,free diameter,自由直徑
495,free energy,自由能
496,free linear measurement,自由線性測量
497,free mapping,自由映射
498,free radius,自由半徑
499,free size,自由尺寸
0,gap,差距
1,measurement system,測量系統
2,strip cleaning device,條帶清潔裝置
3,surface diameter,表面直徑
4,suspension member,懸掛構件
5,variable diameter,可變直徑
6,free fatty acids,游離脂肪酸
7,fatty acid,脂肪酸
8,fatty acid alkyl acid,脂肪酸烷基酸
9,fatty acid alkyl salt,脂肪酸烷基鹽
10,fatty acid fatty salt,脂肪酸脂肪鹽
11,fatty acid salt,脂肪酸鹽
12,fatty alkyl acid,脂肪烷基酸
13,fatty alkyl salt,脂肪烷基鹽
14,fatty composition,脂肪成分
15,fatty oil,脂肪油
16,fatty salt,脂肪鹽
17,fatty triglyceride,脂肪甘油三酯
18,fermentation composition,發酵組成
19,fermentation oil,發酵油
20,free acid,游離酸
21,free acid alkyl acid,游離酸烷基酸
22,free acid alkyl salt,游離酸烷基鹽
23,free acid fatty acid,游離脂肪酸
24,free acid fatty salt,游離酸脂肪鹽
25,free acid salt,游離酸鹽
26,remove free fatty acids,去除游離脂肪酸
27,acid value,酸值
28,arachidonic acid,花生四烯酸
29,cell free dna,無細胞DNA
30,cocoa beans,可可豆
31,ffa molecule,ffa 分子
32,free fatty acid content,游離脂肪酸含量
33,linoleic acid,亞油酸
34,lipid hydrolysis,脂質水解
35,monounsaturated free fatty acids,單不飽和游離脂肪酸
36,oleic acid,油酸
37,palmitoleic acid,棕櫚油酸
38,permission free operation,免許可操作
39,polyunsaturated free fatty acids,多不飽和游離脂肪酸
40,toll free,免費電話
41,triacylglycerol lysis,三酰基甘油裂解
42,carboxylic,羧酸
43,carboxylic acid,羧酸
44,carboxylic id,羧基
45,containing acid,含酸
46,containing compound,含化合物
47,drug,藥品
48,fatty,脂肪
49,fatty id,脂肪
50,free fatty,游離脂肪
51,functional acid,功能酸
52,functional compound,功能化合物
53,niacin acid,菸酸
54,niacin agent,菸酸劑
55,nicotine,尼古丁
56,nicotinic acid,菸酸
57,nicotinic agent,菸鹼劑
58,feedstock,原料
59,triglyceride,甘油三酯
60,non esterified fatty acids,非酯化脂肪酸
61,saponification,皂化
62,sore,瘡
63,arrest the fall,阻止墜落
64,climb without partners,無夥伴攀登
65,clove hitch over,丁香結
66,cylinders,氣缸
67,floating cam ascender,浮動凸輪上升器
68,frictional device,摩擦裝置
69,frictional lock,摩擦鎖
70,frictional locking device,摩擦鎖定裝置
71,gibbs style ascender,吉布斯式上升器
72,lock,鎖
73,lock box,鎖箱
74,lock smith,鎖匠
75,lockdown in the country,在國內封鎖
76,locket,挂墜盒
77,locking the bike,鎖自行車
78,locking the gate,鎖門
79,resist,抵抗
80,self locking device,自鎖裝置
81,solo climbing,單人攀登
82,block lock,塊鎖
83,block movement,塊運動
84,block movement lock,塊移動鎖
85,locks,鎖
86,prevent,防止
87,prevent lock,防止鎖定
88,prevent movement,防止移動
89,prevent movement lock,防止運動鎖定
90,releasably lock,可釋放鎖定
91,releasably secure,可釋放安全
92,secures,確保
93,selectively lock,選擇性鎖定
94,selectively secure,選擇性保護
95,seal therebetween,其間密封
96,sealing seal,密封密封
97,sealing therebetween,其間密封
98,anti impact stand column,抗衝擊立柱
99,bluetooth intelligent wireless lock,藍牙智能無線鎖
100,clamp lock,夾鎖
101,fire flooding,火災洪水
102,fit band,適合帶
103,fitting device,擬合裝置
104,force fit connection,力配合連接
105,friction lock,摩擦鎖
106,friction lock buckle,摩擦鎖扣
107,frictional fit,摩擦配合
108,frictional seal,摩擦密封
109,hand friction,手摩擦
110,lock down,封鎖
111,locking connection,鎖定連接
112,locking system,鎖定係統
113,noncontact lock,非接觸式鎖
114,positionable linear friction lock,可定位線性摩擦鎖
115,sectioning reducing ball socket,切片異徑球窩
116,semiconductor device,半導體器件
117,wedge lock,楔形鎖
118,wedging fit,楔形配合
119,wedging seal,楔形密封
120,wireless lock security,無線鎖安全
121,atr ftir,屬性
122,atr ftir standard spectrogram,atr ftir 標準頻譜圖
123,component sale,零部件銷售
124,emit infrared radiation,發射紅外線輻射
125,fourier transform infrared spectrometer,傅里葉變換紅外光譜儀
126,ft ir,英尺紅外
127,ft ir spectrometer,英尺紅外光譜儀
128,ft spectrometer,英尺光譜儀
129,ftir,提拉
130,ftir analysis,分析
131,ftir spectra,紅外光譜
132,ftir spectrometer instrumentation,紅外光譜儀儀器
133,high resolution spectral data collector,高分辨率光譜數據採集器
134,image analysis,圖像分析
135,image detection,圖像檢測
136,imaging,成像
137,infrared ir,紅外線
138,infrared spectrometer,紅外光譜儀
139,instrument cluster,儀表組
